17784766526N iot/window {"phase":"NOISY_p10","idx":2,"average":0.499024,"adaptive_rate":9.77,"sample_count":48,"compute_ms":1.1370,"timestamp_us":1778476652637011,"signal":0,"filter":2,"anomaly_prob":0.10,"tpr":0.2500,"fpr":0.0000,"mean_err":1.137217,"tp":1,"fp":0,"fn":3,"tn":24,"bytes":192,"current_ma":60.80,"voltage_v":5.124,"power_mw":311.54,"energy_mj":14422.2637}
17784766576N iot/window {"phase":"NOISY_p10","idx":3,"average":0.650158,"adaptive_rate":9.77,"sample_count":48,"compute_ms":1.1270,"timestamp_us":1778476657533000,"signal":0,"filter":2,"anomaly_prob":0.10,"tpr":0.0000,"fpr":0.0000,"mean_err":1.256786,"tp":0,"fp":0,"fn":3,"tn":25,"bytes":192,"current_ma":67.80,"voltage_v":5.120,"power_mw":347.14,"energy_mj":16119.9102}
17784766626N iot/window {"phase":"NOISY_p10","idx":4,"average":0.599163,"adaptive_rate":9.77,"sample_count":48,"compute_ms":1.1190,"timestamp_us":1778476662428992,"signal":0,"filter":2,"anomaly_prob":0.10,"tpr":0.0000,"fpr":0.0000,"mean_err":2.683811,"tp":0,"fp":0,"fn":6,"tn":22,"bytes":192,"current_ma":68.50,"voltage_v":5.124,"power_mw":350.99,"energy_mj":17866.0859}
17784766926N iot/window {"phase":"WINDOW_TRADEOFF","idx":0,"average":0.000000,"adaptive_rate":5.00,"sample_count":288,"compute_ms":7.1830,"timestamp_us":1778476692534046,"signal":-1,"filter":1,"anomaly_prob":0.05,"tpr":0.0000,"fpr":0.0000,"mean_err":0.684511,"tp":0,"fp":0,"fn":17,"tn":271,"bytes":20,"current_ma":62.90,"voltage_v":5.120,"power_mw":322.05,"energy_mj":10658.4805}
17784766926N iot/window {"phase":"WINDOW_TRADEOFF","idx":0,"average":0.000000,"adaptive_rate":5.00,"sample_count":288,"compute_ms":8.9420,"timestamp_us":1778476692543034,"signal":-1,"filter":2,"anomaly_prob":0.05,"tpr":0.1765,"fpr":0.0480,"mean_err":0.761474,"tp":3,"fp":13,"fn":14,"tn":258,"bytes":20,"current_ma":62.90,"voltage_v":5.120,"power_mw":322.05,"energy_mj":10658.4805}
17784766926N iot/window {"phase":"WINDOW_TRADEOFF","idx":1,"average":0.000000,"adaptive_rate":11.00,"sample_count":282,"compute_ms":8.4760,"timestamp_us":1778476692551559,"signal":-1,"filter":1,"anomaly_prob":0.05,"tpr":0.0000,"fpr":0.0000,"mean_err":0.647064,"tp":0,"fp":0,"fn":15,"tn":267,"bytes":44,"current_ma":62.90,"voltage_v":5.120,"power_mw":322.05,"energy_mj":10658.4805}
17784766926N iot/window {"phase":"WINDOW_TRADEOFF","idx":1,"average":0.000000,"adaptive_rate":11.00,"sample_count":282,"compute_ms":11.7010,"timestamp_us":1778476692563307,"signal":-1,"filter":2,"anomaly_prob":0.05,"tpr":0.4000,"fpr":0.0075,"mean_err":0.457338,"tp":6,"fp":2,"fn":9,"tn":265,"bytes":44,"current_ma":62.90,"voltage_v":5.120,"power_mw":322.05,"energy_mj":10658.4805}
17784766926N iot/window {"phase":"WINDOW_TRADEOFF","idx":2,"average":0.000000,"adaptive_rate":21.00,"sample_count":272,"compute_ms":8.4820,"timestamp_us":1778476692571843,"signal":-1,"filter":1,"anomaly_prob":0.05,"tpr":0.2667,"fpr":0.0000,"mean_err":0.513966,"tp":4,"fp":0,"fn":11,"tn":257,"bytes":84,"current_ma":62.90,"voltage_v":5.120,"power_mw":322.05,"energy_mj":10658.4805}
17784766926N iot/window {"phase":"WINDOW_TRADEOFF","idx":2,"average":0.000000,"adaptive_rate":21.00,"sample_count":272,"compute_ms":15.9410,"timestamp_us":1778476692587837,"signal":-1,"filter":2,"anomaly_prob":0.05,"tpr":0.4000,"fpr":0.0000,"mean_err":0.449013,"tp":6,"fp":0,"fn":9,"tn":257,"bytes":84,"current_ma":62.90,"voltage_v":5.120,"power_mw":322.05,"energy_mj":10658.4805}
17784766926N iot/window {"phase":"WINDOW_TRADEOFF","idx":3,"average":0.000000,"adaptive_rate":51.00,"sample_count":242,"compute_ms":8.5410,"timestamp_us":1778476692596426,"signal":-1,"filter":1,"anomaly_prob":0.05,"tpr":0.3077,"fpr":0.0000,"mean_err":0.500966,"tp":4,"fp":0,"fn":9,"tn":229,"bytes":204,"current_ma":62.90,"voltage_v":5.120,"power_mw":322.05,"energy_mj":10658.4805}
17784766926N iot/window {"phase":"WINDOW_TRADEOFF","idx":3,"average":0.000000,"adaptive_rate":51.00,"sample_count":242,"compute_ms":31.2530,"timestamp_us":1778476692627725,"signal":-1,"filter":2,"anomaly_prob":0.05,"tpr":0.2308,"fpr":0.0000,"mean_err":0.545348,"tp":3,"fp":0,"fn":10,"tn":229,"bytes":204,"current_ma":148.10,"voltage_v":5.096,"power_mw":754.72,"energy_mj":10735.4648}
17784766926N iot/window {"phase":"WINDOW_TRADEOFF","idx":4,"average":0.000000,"adaptive_rate":101.00,"sample_count":192,"compute_ms":8.2280,"timestamp_us":1778476692636001,"signal":-1,"filter":1,"anomaly_prob":0.05,"tpr":0.4444,"fpr":0.0000,"mean_err":0.396656,"tp":4,"fp":0,"fn":5,"tn":183,"bytes":404,"current_ma":148.10,"voltage_v":5.096,"power_mw":754.72,"energy_mj":10735.4648}
17784766926N iot/window {"phase":"WINDOW_TRADEOFF","idx":4,"average":0.000000,"adaptive_rate":101.00,"sample_count":192,"compute_ms":50.1090,"timestamp_us":1778476692686155,"signal":-1,"filter":2,"anomaly_prob":0.05,"tpr":0.4444,"fpr":0.0000,"mean_err":0.394488,"tp":4,"fp":0,"fn":5,"tn":183,"bytes":404,"current_ma":148.10,"voltage_v":5.096,"power_mw":754.72,"energy_mj":10735.4648}
17784766926N iot/window {"phase":"WINDOW_TRADEOFF","idx":5,"average":0.000000,"adaptive_rate":201.00,"sample_count":92,"compute_ms":5.5480,"timestamp_us":1778476692691751,"signal":-1,"filter":1,"anomaly_prob":0.05,"tpr":0.2500,"fpr":0.0000,"mean_err":0.446035,"tp":1,"fp":0,"fn":3,"tn":88,"bytes":804,"current_ma":148.10,"voltage_v":5.096,"power_mw":754.72,"energy_mj":10735.4648}
17784766926N iot/window {"phase":"WINDOW_TRADEOFF","idx":5,"average":0.000000,"adaptive_rate":201.00,"sample_count":92,"compute_ms":51.7970,"timestamp_us":1778476692743592,"signal":-1,"filter":2,"anomaly_prob":0.05,"tpr":0.0000,"fpr":0.0000,"mean_err":0.548544,"tp":0,"fp":0,"fn":4,"tn":88,"bytes":804,"current_ma":153.70,"voltage_v":5.092,"power_mw":782.64,"energy_mj":10815.2939}
